id,apartmentImage,apartmentAdvertTitle,apartmentSize,numberOfApartmentRooms,apartmentPrice,apartmentPropertyType,apartmentLocation,apartmentAdvertDate
68,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/9/6/4/2/7/0/4/Roy0c6zLvnE83XO7U6t4H.png,sahibinden arya konutlarına komşu çok bakınlı daire,75 m²,2 + 1,2.150.000 ₺,Sahibinden Satılık Daire,Kağıthane,02-05-2023
69,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/2/4/7/2/7/0/4/1683109769488-40727427.jpg,sahibinden arakat 3 +1 site içi dairw,120 m²,3 + 1,4.100.000 ₺,Sahibinden Satılık Daire,Ümraniye,06-05-2023
70,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/2/0/1/2/7/0/4/suLNReGSGIbQ1lTyTP9HW.jpg,sahibinden acil satılık 2+1 85m arakat daire,88 m²,2 + 1,2.750.000 ₺,Sahibinden Satılık Daire,Sancaktepe,01-05-2023
71,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/5/9/8/1/7/0/4/Fi4ryeFxRFxcjAIybGJ9L.jpeg,"fırsat dairesi. krediye uygun. yeni, sağlam bina. kat mülkiyetli",98 m²,2 + 1,2.480.000 ₺,Sahibinden Satılık Daire,Bahçelievler,01-05-2023
72,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/8/6/1/2/7/0/4/1682963668-761662-40721688.jpeg,göl ve deniz manzaralı sahibinden satılık,90 m²,2 + 1,2.850.000 ₺,Sahibinden Satılık Daire,Küçükçekmece,02-05-2023
73,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/7/0/2/2/7/0/4/Uk40Gx-WXX7NZihSuIgfq.png,eyüpsultan'ın en nezih mahallesi'nde sahibinden satılık 4+1daire,170 m²,4 + 1,5.100.000 ₺,Sahibinden Satılık Daire,Eyüpsultan,02-05-2023
74,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/5/5/9/1/7/0/4/dd495093-83e7-44c7-a8e6-9c51c9b17d6d.jpg,sahibinden satılık florya emlak konutda lüks daire,205 m²,3 + 1,21.500.000 ₺,Sahibinden Satılık Daire,Bakırköy,01-05-2023
75,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/5/9/1/2/7/0/4/1682968982362-40721957.jpg,sahibinden 2 metro hattına yürüme mesafesinde,76 m²,2 + 1,2.590.000 ₺,Sahibinden Satılık Daire,Ümraniye,02-05-2023
76,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/7/2/1/2/7/0/4/oTkTiLQNlq1gpv74eeyGZ.jpeg,koray bianco'da oturum ve yatırıma uygun ara kat satılık 2+1,95 m²,2 + 1,8.450.000 ₺,Sahibinden Satılık Daire,Eyüpsultan,01-05-2023
77,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/1/8/0/2/7/0/4/lZ-L4OxrJgF44pygaIdvZ.jpg,haliç manzaralı beyoğlu sütlücede full eşyalı daire,200 m²,4 + 1,25.000 ₺,Sahibinden Kiralık Daire,Beyoğlu,01-05-2023
78,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/4/9/0/2/7/0/4/1682982693-797305-40720947.jpeg,akevler residence satılık 3+1 daire,145 m²,3 + 1,7.700.000 ₺,Sahibinden Satılık Daire,Zeytinburnu,02-05-2023
79,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/1/0/1/2/7/0/4/1682953318-0888739-40721017.jpeg,başakşehir yeditepe evleri sahibinden 2+1,85 m²,2 + 1,3.000.000 ₺,Sahibinden Satılık Daire,Başakşehir,01-05-2023
80,https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/2/8/5/1/7/0/4/1682879878734-40715820.jpg,yenikentte 2+1 çatı dubleksi meydana yakın avm yanı,140 m²,2 + 1,1.660.000 ₺,Sahibinden Satılık Daire,Esenyurt,04-05-2023
